"","imdb_rating","id","season","title","views","ratingPerViews"
"171",8.2,158,8,"Bart After Dark",60210,0.000136190001660854
"172",7.7,202,9,"Lost Our Lisa",55316,0.000139200231397787
"173",7.9,199,9,"Girly Edition",21811,0.000362202558342121
"174",7.5,187,9,"Realty Bites",25183,0.000297819957908113
"175",7.9,174,8,"The Old Man and the Lisa",56833,0.000139003747822568
"176",8,159,8,"A Milhouse Divided",60956,0.00013124220749393
"177",8.1,170,8,"My Sister, My Sitter",54247,0.000149317012922374
"178",7.5,193,9,"The Last Temptation of Krust",20298,0.000369494531480934
"179",8.2,183,9,"The Cartridge Family",30921,0.00026519194075224
"180",8.2,172,8,"Grade School Confidential",60584,0.000135349267133236
"181",8.8,161,8,"Hurricane Neddy",66281,0.000132768063245877
"182",8.3,197,9,"Simpson Tide",23127,0.000358887879967138
"183",7.3,177,8,"The Simpsons Spin-Off Showcase",57926,0.000126022856748265
"184",9.1,179,9,"The City of New York vs. Homer Simpson",62962,0.00014453162224834
"185",7.6,188,9,"Miracle on Evergreen Terrace",19899,0.000381928740137695
"186",8.3,201,9,"King of the Hill",60952,0.000136172726079538
"187",8.1,192,9,"Das Bus",32487,0.000249330501431342
"188",7.6,204,10,"Lard of the Dance",56018,0.000135670677282302
"189",7.7,190,9,"Bart Carny",22426,0.000343351467047177
"190",8,195,9,"Lisa the Simpson",21608,0.000370233246945576
"191",8,146,7,"The Day the Violence Died",57809,0.000138386756387414
"192",7.3,208,10,"When You Dish Upon a Star",43485,0.000167873979533172
"193",8,210,10,"Lisa Gets an ""A""",50013,0.000159958410813189
"194",7.3,211,10,"Homer Simpson in: ""Kidney Trouble""",50300,0.000145129224652087
"195",6.9,215,10,"Sunday, Cruddy Sunday",50051,0.000137859383428903
"196",7.6,220,10,"Maximum Homerdrive",54195,0.000140234338961159
"197",7.3,221,10,"Simpsons Bible Stories",47155,0.00015480860990351
"198",7.8,213,10,"Viva Ned Flanders",56561,0.000137904209614399
"199",7.3,223,10,"The Old Man and the ""C"" Student",47550,0.000153522607781283
"200",7.3,225,10,"They Saved Lisa's Brain",47951,0.000152238743717545
"201",7.7,216,10,"Homer to the Max",55726,0.000138176075799447
"202",8.6,148,7,"Bart on the Road",70913,0.00012127536558882
"203",8.6,165,8,"Mountain of Madness",60763,0.000141533499004328
"204",7.6,194,9,"Dumbbell Indemnity",21214,0.000358253983218629
"205",7.5,206,10,"Bart the Mother",43240,0.000173450508788159
"206",7.3,217,10,"I'm with Cupid",46822,0.000155909615138183
"207",7.3,218,10,"Marge Simpson in: ""Screaming Yellow Honkers""",52778,0.000138315207093865
"208",8,31,2,"Brush with Greatness",58561,0.000136609689042195
"209",8.8,45,3,"Flaming Moe's",58968,0.000149233482566816
"210",8.1,5,1,"Bart the General",63129,0.000128308701230813
"211",8.2,59,3,"Brother, Can You Spare Two Dimes?",50936,0.000160986335793937
"212",9,62,4,"Homer the Heretic",64605,0.000139308103087996
"213",9,83,5,"Cape Feare",65585,0.000137226499961882
"214",7.7,88,5,"Bart's Inner Child",74139,0.000103858967614886
"215",8.8,96,5,"Deep Space Homer",75439,0.000116650538845955
"216",8.4,100,5,"Sweet Seymour Skinner's Baadasssss Song",66406,0.000126494593862
"217",8.2,101,5,"The Boy Who Knew Too Much",74427,0.000110175070874817
"218",9,109,6,"Treehouse of Horror V",119295,7.54432289701999e-05
"219",9.1,128,6,"Who Shot Mr. Burns? (Part One)",86070,0.000105727895898687
"220",9.2,155,8,"You Only Move Twice",79609,0.000115564823072768
"221",8.5,162,8,"El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)",64743,0.000131288324606521
"222",9.2,176,8,"Homer's Enemy",74177,0.000124027663561481
"223",8.1,182,9,"Treehouse of Horror VIII",30963,0.000261602557891677
"224",7.7,185,9,"The Two Mrs. Nahasapeemapetilons",19419,0.000396518873268448
"225",7.6,209,10,"D'oh-in' in the Wind",45779,0.000166014985036807
"226",7.5,3,1,"Homer's Odyssey",78072,9.6065170611743e-05
